word	vol_lv	count
1070658	1	20
1077017	2	35
1090349	2	69
1099669	2	46
6424379	1	16
7409519	1	5
7409521	1	11
8118591	2	63
12781777	2	136
13007499	2	35
13008227	2	53
13382195	1	8
13513249	1	6
15452241	2	41
15717057	2	201
852437	2	55
861419	2	141
908775	2	99
965821	2	145
1036139	2	213
1123420	2	303
9836106	3	449
848319	3	545
857849	3	1641
951412	3	1339
1124551	2	47
964356	2	259
977559	2	66
1118012	3	332
1118393	3	793
1123958	2	117
5995423	3	405
825243	1	18
825703	2	204
892048	2	137
901813	2	34
904973	2	160
917826	2	43
918390	2	184
937322	1	19
945139	2	117
949784	2	187
1008032	2	257
1017380	2	44
1034686	3	776
1055504	3	819
1075313	3	326
1093331	1	22
1102185	2	147
1103341	2	43
1135634	2	76
5978648	3	2254
6919121	1	13
9420181	2	148
12757325	1	16
13987135	2	87
15926927	2	162
903111	2	67
919598	1	11
943076	2	298
1027569	3	1035
1044895	3	560
1068719	3	3078
12425897	1	5
1075368	3	1492
879755	3	1557
1107553	3	796
10150072	2	37
931015	2	43
941427	2	54
959409	3	561
994928	4	3222
1006399	2	134
1009187	3	420
1026346	3	416
1095587	2	132
999377	2	45
1079023	2	232
947865	2	112
825064	1	9
860248	2	258
867886	2	73
875306	2	84
896672	2	181
906017	2	312
907625	2	239
908846	3	1469
925112	3	438
945244	2	183
965059	1	26
1013528	2	192
1053022	2	67
1074405	3	762
1080841	2	106
1110142	3	627
9653988	1	22
15971850	2	37
950030	2	169
982000	1	28
942088	3	393
973854	2	89
1083254	2	122
1133556	3	365
909487	2	107
914415	1	20
925862	3	528
961730	2	60
991844	2	115
1045069	2	64
1055646	3	2110
1058942	2	171
1110721	2	97
1121656	2	194
5591230	1	29
7410344	2	151
8090532	3	889
8090612	2	59
838602	3	417
889105	2	99
911502	2	311
932854	2	49
985119	3	902
994262	2	171
1001475	2	144
1028995	3	364
1070845	3	433
12987817	2	55
13841744	3	536
13876640	2	54
849202	3	636
856336	2	32
1041459	2	65
1071377	3	476
1090909	2	97
12172240	2	141
12384601	2	75
13513389	1	15
15596586	1	11
962568	3	3123
991546	2	121
1018769	2	147
1104649	2	234
1111072	3	696
9803483	2	101
12384539	2	36
12384564	2	51
1022843	2	311
861899	2	96
947059	2	68
956400	2	33
964327	2	210
1031083	2	298
1033846	2	200
1050310	2	155
1070910	2	88
7443160	1	12
12302069	3	607
12781914	2	70
915433	2	73
954351	2	205
999971	3	2177
1000050	2	316
1054424	2	297
1083787	2	311
862826	2	229
822941	1	31
824758	2	306
892531	3	607
901776	3	420
954146	2	60
957411	2	143
990797	3	1192
991025	2	37
995904	1	28
1063492	2	35
9488055	2	130
10311240	2	63
10344646	1	6
12648296	3	347
6391532	2	180
839147	3	604
890513	2	315
829722	2	164
831965	2	50
1012284	3	360
1016210	2	70
1041487	2	100
1087754	2	61
5568869	2	111
9220230	1	21
865671	2	55
871722	2	217
1054123	2	174
913159	2	43
968932	3	422
1046144	2	104
1106073	2	185
5588817	2	36
5995340	2	51
9677202	3	788
847789	3	773
870428	2	205
934156	2	236
1031316	2	187
1086061	2	69
6424356	1	12
12524439	2	75
840386	2	152
849843	4	4531
875593	1	31
886703	3	447
922737	1	24
961991	2	103
982824	1	9
989763	2	34
1011572	2	215
1016093	2	74
1031326	2	74
1068943	2	85
1089021	2	239
1105506	2	57
6979474	2	33
10311750	1	20
15863773	1	8
15863928	1	12
1013361	2	34
1015532	2	91
1103105	3	362
1114456	2	35
885430	2	105
823031	2	53
837304	3	327
847637	2	124
853037	2	66
866933	2	34
873160	2	97
929668	3	1511
931411	1	13
937476	1	6
969941	2	210
970070	1	17
989824	3	551
993638	3	893
999537	1	19
1012338	2	195
1015296	2	217
1017313	2	125
1028816	3	1532
5567407	1	8
5591956	1	8
7147317	2	72
9526412	2	160
1020682	3	733
824005	3	1592
837720	2	81
855229	2	63
874149	3	529
889813	1	17
892862	3	324
899624	3	2581
908636	2	142
933609	2	88
948953	2	247
965430	2	77
983350	1	8
987635	1	16
998352	2	187
1024287	1	19
1042021	2	119
1121346	1	29
1123436	2	131
1135834	3	506
7407224	2	36
7432030	2	35
9487927	3	461
9878513	2	283
856252	3	587
985866	2	133
832442	2	183
897678	2	175
912171	2	57
956671	2	55
987480	3	713
1053474	1	30
1131115	2	140
6552253	2	252
1074524	3	692
821083	3	849
845078	3	571
862139	3	975
878285	2	307
904521	2	96
930344	2	199
955258	2	40
960791	2	231
963365	2	182
966379	2	168
1000908	3	328
1005184	2	183
1029125	2	111
1032967	2	53
1040935	3	419
1044759	3	323
1057260	3	1026
1060408	2	295
1128539	2	101
1130458	3	396
6514160	3	344
6533362	2	286
6533681	2	175
13213186	2	44
821344	3	325
822225	2	192
837969	2	107
851468	2	140
887661	2	134
887679	1	7
888543	2	185
925282	2	122
958350	1	24
980263	2	100
1070820	4	4315
1110111	2	187
1116020	2	213
6464105	2	123
6773180	2	86
7024866	2	75
7025490	2	141
7167687	2	171
9337729	2	183
9932248	1	8
12525270	2	77
836758	2	100
842769	2	127
881154	2	201
918598	2	148
977927	2	72
1008626	2	118
1037631	2	151
1042910	2	42
1130375	2	264
5567486	2	127
6533880	2	76
6534201	2	65
7167084	2	57
12301073	3	428
13654702	2	119
879948	3	496
835476	2	104
845814	2	91
892532	1	8
898121	2	151
968200	1	15
988202	2	72
991635	1	9
1063112	1	10
1076954	2	88
1087411	2	95
1104898	2	134
8249550	2	85
9859128	2	248
919766	2	143
967395	3	671
1018541	1	20
1074172	2	126
1083733	2	125
7410335	2	156
9396750	2	85
895295	2	286
904359	2	124
923559	2	235
956284	2	121
8020205	2	90
12301405	3	629
1028290	1	13
860167	2	231
898958	3	388
906345	2	37
