BASKET_ID,words
32849142516,"[835300, 849098, 874966, 880150, 919089, 923746, 947658, 948509, 964977, 992621, 1026118, 1072523, 1082185, 1083846, 1106523, 1124029, 5995859, 5996227, 5996354, 8015407, 8090537, 9655742, 12263604]"
32872221635,[900697]
33001887084,"[908950, 1082185, 1133018, 5573314]"
33118467218,"[1082185, 1133018]"
33460631420,"[826272, 882109, 954077, 1082185]"
33769061342,"[913202, 1082185, 6463658]"
33769736204,"[820165, 1023720]"
33848420309,"[968522, 1117403, 7466911]"
33894327130,"[828891, 937626, 1082185, 6391381, 14111571]"
33906186956,"[820165, 866950, 929704, 935796, 1033220, 1076861, 1119879, 1133018]"
33956787121,"[821083, 1082185, 1100728]"
34044941691,"[857390, 953134, 966826, 981944, 986947, 1123086, 1126699, 1127179]"
34057055389,"[873916, 919012, 953134, 981944, 1133018, 5568322]"
34136990920,"[866871, 1040935, 1082185]"
34136990924,"[867785, 967205, 1024306, 1106523]"
34136991371,"[858091, 1139830]"
34141530584,"[937626, 962274, 993638, 1082185, 1133018, 1139830]"
34178131381,"[891954, 903768, 937626, 966826, 1057310, 1082185, 1116477, 1127831, 1131400]"
34203953124,"[882109, 938849]"
34258551938,"[851676, 866162, 878996, 910032, 919012, 923746, 937626, 953134, 953476, 965982, 1038981, 1082185, 7409842]"
34258552012,[1026118]
34258601763,"[882109, 953476]"
34258601764,"[938849, 954077, 962274]"
34267385724,"[884066, 1093432]"
34321726735,"[882109, 954077]"
34321793675,"[919012, 953134, 981944, 1004950, 1080133, 1139012, 5996064, 5996227]"
34338306945,[891954]
34574952229,"[930118, 986947]"
34576226884,"[965982, 1048383, 1082185, 1127179]"
34576741363,"[849469, 898526, 898958, 953134, 981944, 1133018, 1139830, 7167218, 14077526]"
34576831632,"[1040935, 1082185]"
34577327188,"[858091, 866871, 897165, 969941, 981760, 1102927, 5573314, 5978656, 13381584]"
34664778112,"[826249, 862682, 917816, 923746, 962568, 969941, 1022981, 1026118, 1033220, 1082185, 1089069, 1101721, 1132054, 1133018, 5995239, 5995300, 5995859, 5996354, 6602327, 8015407, 8090537, 8205418, 8205620, 12262492, 12731478]"
34749137847,"[878996, 953134, 958700, 965982, 981760, 981944, 1018433, 1082185, 14077526]"
34850246610,"[1024306, 1082185, 1133018, 5573314, 5978656, 9677377, 9677454]"
34873184084,"[848070, 967395, 1032334, 1079307, 1082185, 1112881, 12518330]"
35000778579,"[828891, 831628, 852317, 900697, 919644, 964977, 995785, 1043006, 1082185, 1116578, 1139012, 8015407]"
35080125917,"[821083, 920308, 953134, 981944, 1082185]"
35143887152,"[865189, 866211, 903768, 915613, 953134, 981944, 1010255, 1024306, 1082185, 1096159, 1116477]"
35145540325,[1106523]
35293501695,"[898526, 953134, 953476, 965982, 981944, 1031831, 1048383, 1082185, 7167218, 9526563, 14077636]"
35412506754,"[866871, 882109, 933637, 954077, 986947, 994928, 1068447]"
35412591414,"[965982, 1082185, 1093432, 1133018, 6602297]"
35463775077,"[849469, 976864, 1133018]"
35573827437,"[848071, 860776, 948509, 976300, 981760, 1007195, 1009343, 1010582, 1026118, 1051516, 1067695, 1068715, 1082185, 1084036, 1100973, 1107839, 1116074, 1133018, 1137181, 8015407]"
35598032073,"[878996, 899844, 953134, 981944, 1048383, 1082185, 12523994]"
35638467089,"[878302, 896161, 953134, 981944, 1082185, 1102949, 1106523, 1127831, 1135355, 7167249]"
35666139567,"[976998, 1046740]"
35713821869,"[965982, 981760, 1022254, 1082185, 1102927, 1121193]"
35730167275,"[937626, 953134, 965982, 981944, 1040935, 1106523, 14025046, 14077526]"
35865572800,"[860776, 1082185]"
35891366325,"[1072523, 1119761]"
35891587518,"[937626, 953134, 981944, 1023720, 1043006, 1082185, 1106523, 1133018, 6391484]"
36029887032,[1127831]
40037325515,"[831628, 866950, 928342, 1127179]"
40061789310,"[1082185, 1098248, 1102949]"
40097631102,"[849098, 1079048, 1100973, 1106373, 5566984, 12263604]"
40097633182,"[898958, 1043006, 1062002, 1082185, 1127179, 12518330, 14112236]"
40106898617,"[919644, 939267, 964977, 986327, 1015805, 1133018, 10356165, 13115914]"
40126631587,"[860776, 882441, 884897, 950871, 1082185, 1101956, 1117039, 1133018, 8015407, 13115783, 14112236]"
40127766211,[1051245]
40128446619,[13842224]
40128446621,"[857006, 1026118, 1082185]"
40186402770,"[884897, 910032, 932111, 935796, 947715, 967395, 1026118, 1047256, 1082185, 1089069]"
